"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron174","pbmc3k",379,47,"11119-07034","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron175","pbmc3k",5091,70,"10837-07262","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron176","pbmc3k",6656,71,"10815-06845","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron177","pbmc3k",5781,71,"10754-06603","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron178","pbmc3k",2457,66,"10497-06376","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron179","pbmc3k",9889,75,"10144-05664","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron180","pbmc3k",10176,76,"09908-06056","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron181","pbmc3k",1560,69,"10151-06356","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron182","pbmc3k",4971,69,"10227-06555","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron183","pbmc3k",2972,63,"10089-06790","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron184","pbmc3k",3914,74,"09599-06502","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron185","pbmc3k",7909,68,"10127-08561","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron186","pbmc3k",504,47,"09779-08697","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron187","pbmc3k",5297,71,"09619-07542","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron188","pbmc3k",5128,79,"09401-07311","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron189","pbmc3k",4772,72,"09336-07832","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron190","pbmc3k",571,46,"09600-08241","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron191","pbmc3k",430,45,"09147-07265","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron192","pbmc3k",1532,60,"09027-07344","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron193","pbmc3k",80,22,"08931-07475","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron194","pbmc3k",3157,65,"08985-07600","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron195","pbmc3k",8399,78,"08570-07385","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron196","pbmc3k",13909,78,"09262-09135","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron197","pbmc3k",12080,80,"09565-09586","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron198","pbmc3k",8952,72,"09883-09679","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
